Date,Open,High,Low,Close,Volume,Adj Close
2012-01-03,12221.19043,12479.650391,12221.19043,12397.379883,152560000,12397.379883
2012-01-04,12392.459961,12430.0,12337.25,12418.419922,145130000,12418.419922
2012-01-05,12418.419922,12435.980469,12283.900391,12415.700195,158440000,12415.700195
2012-01-06,12407.450195,12415.240234,12332.410156,12359.919922,131120000,12359.919922
2012-01-09,12359.30957,12409.080078,12333.849609,12392.69043,122200000,12392.69043
2012-01-10,12394.509766,12514.69043,12394.509766,12462.469727,141230000,12462.469727
2012-01-11,12459.519531,12462.580078,12399.009766,12449.450195,130260000,12449.450195
2012-01-12,12449.910156,12483.700195,12385.080078,12471.019531,128230000,12471.019531
2012-01-13,12469.959961,12470.120117,12311.790039,12422.05957,161470000,12422.05957
2012-01-17,12423.120117,12573.650391,12423.120117,12482.070312,148670000,12482.070312
2012-01-18,12474.69043,12582.280273,12453.200195,12578.950195,154170000,12578.950195
2012-01-19,12578.19043,12625.799805,12563.580078,12623.980469,148030000,12623.980469
2012-01-20,12623.830078,12720.480469,12620.759766,12720.480469,255110000,12720.480469
2012-01-23,12720.25,12764.490234,12665.830078,12708.820312,149860000,12708.820312
2012-01-24,12708.370117,12708.519531,12613.540039,12675.75,125420000,12675.75
2012-01-25,12673.629883,12778.259766,12580.120117,12758.849609,135430000,12758.849609
2012-01-26,12756.959961,12841.950195,12695.160156,12734.629883,130840000,12734.629883
2012-01-27,12733.950195,12733.950195,12630.719727,12660.459961,164410000,12660.459961
2012-01-30,12659.169922,12659.320312,12529.410156,12653.719727,130430000,12653.719727
2012-01-31,12654.780273,12720.099609,12567.330078,12632.910156,168070000,12632.910156
2012-02-01,12632.759766,12784.620117,12632.759766,12716.459961,143500000,12716.459961
2012-02-02,12716.540039,12741.889648,12676.049805,12705.410156,114360000,12705.410156
2012-02-03,12705.040039,12869.950195,12704.959961,12862.230469,142840000,12862.230469
2012-02-06,12860.719727,12860.790039,12793.429688,12845.129883,108040000,12845.129883
2012-02-07,12844.370117,12903.709961,12782.570312,12878.200195,116150000,12878.200195
2012-02-08,12865.790039,12893.639648,12817.69043,12883.950195,138250000,12883.950195
2012-02-09,12884.410156,12924.709961,12846.410156,12890.459961,157080000,12890.459961
2012-02-10,12889.549805,12889.629883,12743.55957,12801.230469,123620000,12801.230469
2012-02-13,12799.110352,12887.929688,12799.110352,12874.040039,112240000,12874.040039
2012-02-14,12871.769531,12878.879883,12786.929688,12878.280273,120050000,12878.280273
2012-02-15,12864.650391,12899.469727,12753.620117,12780.950195,127560000,12780.950195
2012-02-16,12779.80957,12914.0,12779.580078,12904.080078,134450000,12904.080078
2012-02-17,12903.330078,12967.919922,12903.25,12949.870117,234650000,12949.870117
2012-02-21,12949.339844,13005.040039,12926.110352,12965.69043,164780000,12965.69043
2012-02-22,12966.219727,12977.910156,12914.830078,12938.669922,124200000,12938.669922
2012-02-23,12937.080078,12996.080078,12882.669922,12984.69043,120480000,12984.69043
2012-02-24,12981.200195,13013.820312,12950.589844,12982.950195,89440000,12982.950195
2012-02-27,12981.129883,13027.519531,12882.589844,12981.509766,143530000,12981.509766
2012-02-28,12976.740234,13021.509766,12952.820312,13005.120117,114490000,13005.120117
2012-02-29,13005.419922,13055.75,12929.660156,12952.070312,182460000,12952.070312
2012-03-01,12952.290039,13032.669922,12943.05957,12980.299805,139670000,12980.299805
2012-03-02,12980.75,12997.509766,12927.769531,12977.570312,93900000,12977.570312
2012-03-05,12977.339844,12977.339844,12883.910156,12962.80957,108630000,12962.80957
2012-03-06,12958.650391,12958.730469,12734.860352,12759.150391,142330000,12759.150391
2012-03-07,12756.120117,12857.730469,12751.509766,12837.330078,175110000,12837.330078
2012-03-08,12835.530273,12937.19043,12835.530273,12907.94043,103530000,12907.94043
2012-03-09,12908.620117,12968.790039,12906.429688,12922.019531,103240000,12922.019531
2012-03-12,12920.580078,12976.360352,12919.980469,12959.709961,100000000,12959.709961
2012-03-13,12953.200195,13180.400391,12953.129883,13177.679688,163130000,13177.679688
2012-03-14,13177.150391,13221.269531,13166.25,13194.099609,163610000,13194.099609
2012-03-15,13192.969727,13253.509766,13170.19043,13252.759766,161650000,13252.759766
